T1,P1,T2,P2,T3,P3,T4,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,620.446505578933,1300000.0,1400.0,1235000.0,682.6894486707741,100000.0,323907.9881068277,720897.104085872,396989.11597904423,3969891.1597904423,783451.2618931723,0.5067183311693686,1099.2640103404483,0.0,109.92640103404483,0.0,1099.2640103404483,109.92640103404483,0.6449142396701055,0.36642133678014943,0.0,13.0
298.15,100000.0,633.7237256206323,1400000.0,1400.0,1330000.0,668.3863420271475,100000.0,337251.5942487355,735271.7262627167,398020.1320139812,3980201.320139812,770107.6557512645,0.516837001997727,1131.0245698344943,0.0,113.10245698344943,0.0,1131.0245698344943,113.10245698344943,0.6577925479971071,0.37700818994483143,0.0,14.0
298.15,100000.0,646.3397824025409,1500000.0,1400.0,1425000.0,655.3399533120323,100000.0,349930.73131455365,748383.3469214075,398452.61560685385,3984526.1560685383,757428.5186854464,0.526059695109431,1160.5929433292204,0.0,116.05929433292204,0.0,1160.5929433292204,116.05929433292204,0.6695305210483667,0.38686431444307345,0.0,15.0
298.15,100000.0,658.3685770036941,1600000.0,1400.0,1520000.0,643.3664935090204,100000.0,362019.6698887126,760416.6740234345,398397.00413472194,3983970.0413472196,745339.5801112874,0.5345174397893063,1188.2523095304123,0.0,118.82523095304123,0.0,1188.2523095304123,118.82523095304123,0.6802949233682081,0.3960841031768041,0.0,16.0
298.15,100000.0,669.8717274189597,1700000.0,1400.0,1615000.0,632.3184954460306,100000.0,373580.33605605457,771519.9120767392,397939.5760206847,3979395.7602068465,733778.9139439454,0.5423153601972868,1214.2342903088092,0.0,121.42342903088092,0.0,1214.2342903088092,121.42342903088092,0.6902195493420014,0.40474476343626975,0.0,17.0
298.15,100000.0,680.9012020185073,1800000.0,1400.0,1710000.0,622.0759804325875,100000.0,384664.95802859985,781813.6396652496,397148.68163664977,3971486.8163664974,722694.2919714001,0.5495389766443133,1238.7307533836065,0.0,123.87307533836065,0.0,1238.7307533836065,123.87307533836065,0.6994132430018533,0.41291025112786883,0.0,18.0
298.15,100000.0,691.501275283553,1900000.0,1400.0,1805000.0,612.5401325539169,100000.0,395318.0316599708,791397.1667833135,396079.1351233427,3960791.351233427,712041.2183400292,0.5562587177842259,1261.9024196424107,0.0,126.19024196424107,0.0,1261.9024196424107,126.19024196424107,0.7079656408162875,0.42063413988080356,0.0,19.0
298.15,100000.0,701.7100063418225,2000000.0,1400.0,1900000.0,603.6286770821055,100000.0,405577.8063735316,800353.179532484,394775.37315895245,3947753.7315895245,701781.4436264684,0.5625332170639102,1283.8852600937116,0.0,128.38852600937116,0.0,1283.8852600937116,128.38852600937116,0.7159513671722494,0.42796175336457054,0.0,20.0
298.15,100000.0,711.56037452779,2100000.0,1400.0,1995000.0,595.2724434725358,100000.0,415477.426400429,808751.1943101016,393273.7679096726,3932737.679096726,691881.823599571,0.5684117641125966,1304.7953304525208,0.0,130.47953304525208,0.0,1304.7953304525208,130.47953304525208,0.723433154325123,0.43493177681750694,0.0,21.0
298.15,100000.0,721.0811639027163,2200000.0,1400.0,2090000.0,587.4127685306391,100000.0,425045.8197222299,816650.1676267077,391604.3479044778,3916043.479044778,682313.4302777702,0.5739361567968191,1324.7324800100841,0.0,132.47324800100841,0.0,1324.7324800100841,132.47324800100841,0.730464199559588,0.4415774933366947,0.0,22.0
298.15,100000.0,730.2976610051292,2300000.0,1400.0,2185000.0,579.9995062840757,100000.0,434308.39931015484,824100.496184504,389792.09687434917,3897920.968743492,673050.8506898452,0.5791421205022337,1343.7832353973818,0.0,134.37832353973818,0.0,1343.7832353973818,134.37832353973818,0.7370899715482975,0.4479277451324606,0.0,23.0
298.15,100000.0,739.2322115939171,2400000.0,1400.0,2280000.0,572.9894831153157,100000.0,443287.6226518867,831145.5694691078,387857.94681722106,3878579.4681722107,664071.6273481133,0.5840604098176624,1362.0230701484388,0.0,136.20230701484388,0.0,1362.0230701484388,136.20230701484388,0.7433496124952067,0.4540076900494796,0.0,24.0
298.15,100000.0,747.9046695107957,2500000.0,1400.0,2375000.0,566.3452844871912,100000.0,452003.44285834965,837822.9890903728,385819.54623202316,3858195.462320232,655355.8071416504,0.5887176737088576,1379.518210657693,0.0,137.9518210657693,0.0,1379.518210657693,137.9518210657693,0.7492770392658189,0.45983940355256436,0.0,25.0
298.15,100000.0,756.3327620041725,2600000.0,1400.0,2470000.0,560.0342919179976,100000.0,460473.67581419344,844165.5366224124,383691.86080821895,3836918.608082189,646885.5741858066,0.5931371422081059,1396.327087722284,0.0,139.6327087722284,0.0,1396.327087722284,139.6327087722284,0.7549018173557711,0.46544236257409466,0.0,26.0
298.15,100000.0,764.532389646952,2700000.0,1400.0,2565000.0,554.0279111248493,100000.0,468714.30159518676,850201.9493195264,381487.6477243397,3814876.477243397,638644.9484048133,0.5973391767635635,1412.501514000951,0.0,141.2501514000951,0.0,1412.501514000951,141.2501514000951,0.7602498613354445,0.470833838000317,0.0,27.0
298.15,100000.0,772.5178745248813,2800000.0,1400.0,2660000.0,548.300947837483,100000.0,476739.7138975058,855957.5474233296,379217.8335258238,3792178.335258238,630619.5361024942,0.6013417152750398,1428.087647217012,0.0,142.8087647217012,0.0,1428.087647217012,142.8087647217012,0.7653440012591416,0.47602921573900403,0.0,28.0
298.15,100000.0,780.3021671299475,2900000.0,1400.0,2755000.0,542.8310988566698,100000.0,484562.9279655973,861454.7456490468,376891.81768344954,3768918.1768344953,622796.3220344028,0.6051606349445178,1443.1267842785473,0.0,144.31267842785473,0.0,1443.1267842785473,144.31267842785473,0.7702044444748408,0.48104226142618245,0.0,29.0
