T1,P1,T2,T2s,P2,T3,P3,T4,T4s,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,923.8886616762355,830.0278624248002,3600000.0,1400.0,3420000.0,599.2798287847703,510.310920871967,100000.0,628867.3549846167,804723.7720713059,175856.41708668915,1758564.1708668915,478491.8950153833,0.36752224837796976,324539.6751540045,483022.19654708554,32453.967515400447,48302.219654708555,807561.87170109,80756.187170109,0.4677555888446889,108.1798917180015,161.0073988490285,36.0
298.15,100000.0,931.5630010778643,836.5510509161846,3700000.0,1400.0,3515000.0,595.6984945790782,506.33166064342026,100000.0,636580.0660832537,808323.0129480264,171742.9468647727,1717429.468647727,470779.18391674635,0.36480573638775016,325890.0023846784,488540.8290932722,32589.00023846784,48854.08290932722,814430.8314779506,81443.08314779506,0.46429820994804566,108.6300007948928,162.84694303109075,37.0
298.15,100000.0,939.0905840828929,842.9494964704589,3800000.0,1400.0,3610000.0,592.2394949368249,502.4883277075832,100000.0,644145.2870033074,811799.3075884909,167654.02058518352,1676540.2058518352,463213.9629966927,0.36193645696811727,327193.72786512214,493944.1800914946,32719.372786512213,49394.418009149456,821137.9079566167,82113.79079566167,0.4606463997776038,109.06457595504071,164.6480600304982,38.0
298.15,100000.0,946.4779709633871,849.228775318879,3900000.0,1400.0,3705000.0,588.8955928252759,498.7728809169732,100000.0,651569.610818204,815159.9292105978,163590.31839239376,1635903.1839239376,455789.639181796,0.35891627261659675,328453.62919964944,499237.5434449284,32845.362919964944,49923.754344492845,827691.1726445779,82769.11726445779,0.4568025287847595,109.4845430665498,166.4125144816428,39.0
298.15,100000.0,953.731269438342,855.3940790225906,4000000.0,1400.0,3800000.0,585.6601511395116,495.1779457105685,100000.0,658859.1757855337,818411.5481047909,159552.37231925712,1595523.7231925712,448500.07421446627,0.35574659067494707,329672.2523610454,504425.84254319366,32967.22523610454,50442.584254319365,834098.094904239,83409.80949042391,0.45276838813175085,109.89075078701512,168.14194751439788,40.0
298.15,100000.0,960.8561763381447,861.450249887423,4100000.0,1400.0,3895000.0,582.5270694284081,491.69674380934237,100000.0,666019.7072198354,821560.2952244498,155540.58800461446,1555405.8800461446,441339.5427801646,0.3524283979287365,330851.9362426603,509513.66469836683,33085.19362426603,50951.366469836685,840365.600941027,84036.56009410271,0.4485452337274828,110.28397874755342,169.83788823278894,41.0
298.15,100000.0,967.8580145179134,867.4018123402263,4200000.0,1400.0,3990000.0,579.4907286538212,488.32303183757915,100000.0,673056.554590503,824611.8177029097,151555.2631124067,1515552.6311240671,434302.6954094971,0.34896228992893463,331994.8340799463,514505.29162712087,33199.48340799463,51450.52916271209,846500.1257070671,84650.0125707067,0.4441338235459168,110.66494469331542,171.50176387570696,42.0
298.15,100000.0,974.74176566095,873.2530008118075,4300000.0,1400.0,4085000.0,576.5459427985473,485.05104755394154,100000.0,679974.7244892548,827571.3274874599,147596.6029982051,1475966.029982051,427384.52551074524,0.3453484957646045,333102.9322047802,519404.7265154618,33310.29322047802,51940.47265154618,852507.6587202421,85250.7658720242,0.4395344491549512,111.03431073492675,173.13490883848726,43.0
298.15,100000.0,981.5120995141958,879.0077845870665,4400000.0,1400.0,4180000.0,573.6879163364127,481.8754625960141,100000.0,686778.9100117668,830443.6440819053,143664.73407013842,1436647.3407013842,420580.3399882332,0.3415868988887065,334178.06651827594,524215.7181190471,33417.806651827595,52421.57181190471,858393.7846373231,85839.37846373231,0.43474696222199016,111.39268883942532,174.73857270634903,44.0
298.15,100000.0,988.1734000155132,884.6698900131862,4500000.0,1400.0,4275000.0,570.9122067389103,478.79134082101143,100000.0,693473.5170155908,833233.2322273952,139759.71521180437,1397597.1521180437,413885.73298440926,0.337677054495302,335221.93700458616,528941.7822831857,33522.193700458614,52894.178228318575,864163.719287772,86416.3719287772,0.42977079663038437,111.74064566819538,176.31392742772857,45.0
298.15,100000.0,994.7297887045222,890.2428203988438,4600000.0,1400.0,4370000.0,568.2146913246213,475.79410147180147,100000.0,700062.6876480448,835944.2352187556,135881.54757071077,1358815.4757071077,407296.56235195516,0.33361820386122515,336236.1205565426,533586.2212094981,33623.61205565426,53358.62212094981,869822.3417660408,86982.23417660408,0.4246049867324684,112.07870685218086,177.86207373649938,46.0
298.15,100000.0,1001.1851457519581,895.7298738891643,4700000.0,1400.0,4465000.0,565.5915378660486,472.8794865178317,100000.0,706550.3214807179,838580.5044446212,132030.1829639033,1320301.829639033,400808.92851928214,0.3294092859948642,337222.0823415548,538152.1407486064,33722.20823415548,53815.21407486064,875374.2230901612,87537.42230901612,0.4192481821752817,112.40736078051827,179.38404691620212,47.0
298.15,100000.0,1007.543128895008,901.1341595607568,4800000.0,1400.0,4560000.0,563.0391784580313,470.0435316200349,100000.0,712940.094539483,841145.6256496785,128205.53111019556,1282055.3111019556,394419.155460517,0.32504894687608415,338181.18590107176,542642.4659584471,33818.11859010717,54264.24659584471,880823.6518595188,88082.36518595189,0.41369865966047076,112.72706196702393,180.88082198614904,48.0
298.15,100000.0,1013.8071905261509,906.4586119472282,4900000.0,1400.0,4655000.0,560.5542862261918,467.2825402513243,100000.0,719235.4764787817,843642.9423426772,124407.46586389549,1244074.6586389549,388123.7735212184,0.3205355465222339,339114.7021479101,547059.955134374,33911.47021479101,54705.995513437396,886174.657282284,88617.4657282284,0.40795433193738867,113.03823404930336,182.35331837812464,49.0
298.15,100000.0,1019.9805931493476,911.7060041769454,5000000.0,1400.0,4750000.0,558.1337545157422,464.59306057304696,100000.0,725439.7461150943,846075.5767116791,120635.83059658483,1206358.3059658483,381919.5038849057,0.315867164073766,340023.81740151625,551407.2124889953,34002.38174015163,55140.72124889953,891431.0298905115,89143.10298905116,0.40201275427570216,113.34127246717208,183.8024041629984,50.0
